Slide Lot,Intensity,RPMI,Cell Line,Conjugate,Configuration
2114701,61,No,2104112,2122300,14
2114701,71,No,2104112,2122300,14
2114701,75,No,2104112,2122300,14
2115904,69,No,2104112,2122300,14
2115904,70,No,2104112,2122300,14
2115904,70,No,2104112,2122300,14
2115904,76,No,2104112,2122300,14
2115904,73,No,2104112,2122300,14
2115904,70,No,2104112,2122300,14
2115904,71,No,2104112,2122300,14
2115904,72,No,2104112,2122300,14
2115904,69,No,2104112,2122300,14
2115904,73,No,2104112,2122300,14
2115904,69,No,2104112,2122300,14
2115904,62,No,2104112,2122300,14
2115904,66,No,2104112,2122300,14
2115904,62,No,2104112,2122300,14
2115904,61,No,2104112,2122300,14
2115904,52,No,2104112,2122300,14
2115904,57,No,2104112,2122300,14
2115904,55,No,2104112,2122300,14
2115904,65,No,2104112,2122300,14
2115904,54,No,2104112,2122300,14
2115904,58,No,2104112,2122300,14
2115904,55,No,2104112,2122300,14
2115904,50,No,2104112,2122300,14
2115904,54,No,2104112,2122300,14
2115904,59,No,2104112,2122300,14
2115904,73,No,2104112,2122300,14
2117500,84,Yes,2113903,2122300,14
2117500,89,Yes,2113903,2122300,14
2117500,84,Yes,2113903,2122300,14
2117500,86,Yes,2113903,2122300,14
2117500,81,Yes,2113903,2122300,14
2117500,72,Yes,2113903,2122300,14
2117500,81,Yes,2113903,2122300,14
2117500,84,Yes,2113903,2122300,14
2117500,86,Yes,2113903,2122300,14
2117500,82,Yes,2113903,2122300,14
2117500,86,Yes,2113903,2122300,14
2117500,78,Yes,2113903,2122300,14
2117500,77,Yes,2113903,2122300,14
2117500,59,Yes,2113903,2122300,14
2117500,52,Yes,2113903,2122300,14
2117500,46,Yes,2113903,2122300,14
2117500,41,Yes,2113903,2122300,14
2117500,32,Yes,2113903,2122300,14
2117500,28,Yes,2113903,2122300,14
2117500,26,Yes,2113903,2122300,14
2117500,27,Yes,2113903,2122300,14
2117500,36,Yes,2113903,2122300,14
2117500,44,Yes,2113903,2122300,14
2117500,44,Yes,2113903,2122300,14
2117500,45,Yes,2113903,2122300,14
2117500,51,Yes,2113903,2122300,14
2117500,71,Yes,2113903,2122300,14
2117500,65,Yes,2113903,2122300,14
2117500,60,Yes,2113903,2122300,14
2117500,63,Yes,2113903,2122300,14
2117500,57,Yes,2113903,2122300,14
2117500,66,Yes,2113903,2122300,14
2117500,65,Yes,2113903,2122300,14
2117500,57,Yes,2113903,2122300,14
2117500,64,Yes,2113903,2122300,14
2117500,60,Yes,2113903,2122300,14
2117500,66,Yes,2113903,2122300,14
2117500,67,Yes,2113903,2122300,14
2117500,83,Yes,2113903,2122300,14
2117500,64,Yes,2113903,2122300,14
2117500,54,Yes,2113903,2122300,14
2117500,48,Yes,2113903,2122300,14
2117500,48,Yes,2113903,2122300,14
2117500,49,Yes,2113903,2122300,14
2117500,62,Yes,2113903,2122300,14
2117500,60,Yes,2113903,2122300,14
2117500,45,Yes,2113903,2122300,14
2117500,44,Yes,2113903,2122300,14
2117500,48,Yes,2113903,2122300,14
2117500,51,Yes,2113903,2122300,14
2117500,58,Yes,2113903,2122300,14
2117500,76,Yes,2113903,2122300,14
2117501,88,Yes,2113903,2122300,14
2117501,80,Yes,2113903,2122300,14
2117501,81,Yes,2113903,2122300,14
2117501,83,Yes,2113903,2122300,14
2117501,93,Yes,2113903,2122300,14
2117501,83,Yes,2113903,2122300,14
2117501,73,Yes,2113903,2122300,14
2117501,70,Yes,2113903,2122300,14
2117501,74,Yes,2113903,2122300,14
2117501,73,Yes,2113903,2122300,14
2117501,75,Yes,2113903,2122300,14
2117501,81,Yes,2113903,2122300,14
2117501,88,Yes,2113903,2122300,14
2117501,63,Yes,2113903,2122300,14
2117501,54,Yes,2113903,2122300,14
2117501,58,Yes,2113903,2122300,14
2117501,58,Yes,2113903,2122300,14
2117501,74,Yes,2113903,2122300,14
2117501,88,Yes,2113903,2122300,14
2117501,95,Yes,2113903,2122300,14
2117501,77,Yes,2113903,2122300,14
2117501,64,Yes,2113903,2122300,14
2117501,60,Yes,2113903,2122300,14
2117501,58,Yes,2113903,2122300,14
2117501,61,Yes,2113903,2122300,14
2117501,73,Yes,2113903,2122300,14
2118700,68,Yes,2113903,2122300,14
2118700,61,Yes,2113903,2122300,14
2118700,70,Yes,2113903,2122300,14
2118700,71,Yes,2113903,2122300,14
2118700,68,Yes,2113903,2122300,14
2118700,80,Yes,2113903,2122300,14
2118700,74,Yes,2113903,2122300,14
2118700,59,Yes,2113903,2122300,14
2118700,54,Yes,2113903,2122300,14
2118700,51,Yes,2113903,2122300,14
2118700,49,Yes,2113903,2122300,14
2118700,54,Yes,2113903,2122300,14
2118700,96,Yes,2113903,2122300,14
2118700,61,Yes,2113903,2122300,14
2118700,50,Yes,2113903,2122300,14
2118700,49,Yes,2113903,2122300,14
2118700,55,Yes,2113903,2122300,14
2118700,66,Yes,2113903,2122300,14
2118700,82,Yes,2113903,2122300,14
2118700,75,Yes,2113903,2122300,14
2118700,58,Yes,2113903,2122300,14
2118700,51,Yes,2113903,2122300,14
2118700,47,Yes,2113903,2122300,14
2118700,47,Yes,2113903,2122300,14
2118700,52,Yes,2113903,2122300,14
2118700,80,Yes,2113903,2122300,14
2120100,82,Yes,2113903,2122300,14
2120100,84,Yes,2113903,2122300,14
2120100,80,Yes,2113903,2122300,14
2120100,84,Yes,2113903,2122300,14
2120100,77,Yes,2113903,2122300,14
2120100,73,Yes,2113903,2122300,14
2120100,77,Yes,2113903,2122300,14
2120100,60,Yes,2113903,2122300,14
2120100,67,Yes,2113903,2122300,14
2120100,73,Yes,2113903,2122300,14
2120100,72,Yes,2113903,2122300,14
2120100,79,Yes,2113903,2122300,14
2120100,76,Yes,2113903,2122300,14
2120100,76,Yes,2113903,2122300,14
2120100,67,Yes,2113903,2122300,14
2120100,62,Yes,2113903,2122300,14
2120100,57,Yes,2113903,2122300,14
2120100,51,Yes,2113903,2122300,14
2120100,60,Yes,2113903,2122300,14
2120100,61,Yes,2113903,2122300,14
2120100,67,Yes,2113903,2122300,14
2120100,63,Yes,2113903,2122300,14
2120100,67,Yes,2113903,2122300,14
2120100,67,Yes,2113903,2122300,14
2120100,80,Yes,2113903,2122300,14
2120100,83,Yes,2113903,2122300,14
2120100,74,Yes,2113903,2122300,14
2120100,77,Yes,2113903,2122300,14
2120100,68,Yes,2113903,2122300,14
2120100,69,Yes,2113903,2122300,14
2120100,72,Yes,2113903,2122300,14
2120100,82,Yes,2113903,2122300,14
2120100,86,Yes,2113903,2122300,14
2120100,79,Yes,2113903,2122300,14
2120100,79,Yes,2113903,2122300,14
2120100,84,Yes,2113903,2122300,14
2120100,85,Yes,2113903,2122300,14
2120100,75,Yes,2113903,2122300,14
2120100,79,Yes,2113903,2122300,14
2120100,76,Yes,2113903,2122300,14
2120100,76,Yes,2113903,2122300,14
2120100,72,Yes,2113903,2122300,14
2120100,66,Yes,2113903,2122300,14
2120100,71,Yes,2113903,2122300,14
2120100,90,Yes,2113903,2122300,14
2120100,90,Yes,2113903,2122300,14
